Année;Mois;Axe (Atlantique / Est / Nord / Sud-Est / OUIGO / Europe TGV);Régulatité composite en %;Période;Ponctualité Origine en %
2017;4;Atlantique;89.20424865049999;2017-04;85.0345356869
2017;7;Atlantique;81.0483870968;2017-07;78.1890858533
2017;2;Europe TGV;91.64999999999999;2017-02;78.9245982695
2017;6;Europe TGV;87.6929863255;2017-06;70.2804746494
2017;10;Atlantique;89.1827595858;2017-10;82.0088300221
2017;9;Sud-Est;87.58833121939999;2017-09;82.9048086359
2017;6;Sud-Est;84.7497299244;2017-06;78.4696466914
2017;5;Sud-Est;88.9414651244;2017-05;82.9867674858
2017;9;OUIGO;85.6313497823;2017-09;70.6997084548
2017;11;Est;93.1405265109;2017-11;84.10059676040001
2015;8;Europe TGV;87.08133971289999;2015-08;66.71842650100001
2015;4;Europe TGV;91.2295425934;2015-04;74.908328968
2015;5;Europe TGV;90.975504942;2015-05;74.6388443018
2015;10;Atlantique;90.2762936956;2015-10;85.99831508
2015;6;Sud-Est;86.90364826940001;2015-06;84.1518987342
2015;9;Sud-Est;87.75573949710001;2015-09;85.6365799762
2015;11;Sud-Est;90.76393237319999;2015-11;87.3768263677
2015;9;Nord;90.97569097569999;2015-09;86.7605633803
2015;7;Est;91.6845110635;2015-07;83.70340999209999
2015;5;Est;95.2430555556;2015-05;87.0506378044
2017;1;Atlantique;89.863234111;2017-01;83.47398030939999
2017;1;Europe TGV;88.7432188065;2017-01;75.30795072789999
2016;12;Europe TGV;90.63620071679999;2016-12;76.09539656129999
2017;2;Atlantique;90.8134141991;2017-02;86.4007782101
2016;9;Atlantique;84.2988808427;2016-09;85.4538891897
2016;8;Atlantique;87.5459632294;2016-08;84.6262341326
2017;1;OUIGO;86.9469026549;2017-01;77.0089285714
2017;2;Nord;93.36870026529999;2017-02;87.3170731707
2016;10;OUIGO;86.7841409692;2016-10;76.821192053
2016;9;Est;94.9963208241;2016-09;85.9983079526
2016;3;Europe TGV;91.91674733789999;2016-03;77.5287356322
2015;12;Europe TGV;93.33333333329999;2015-12;72.926963207
2016;4;Sud-Est;92.8546891103;2016-04;85.04742421419999
2016;2;Sud-Est;91.2694512695;2016-02;86.1822086988
2016;2;OUIGO;91.4893617021;2016-02;81.66666666670001
2016;1;OUIGO;92.2737306843;2016-01;82.3008849558
2015;12;Sud-Est;93.727514469;2015-12;87.5
2016;1;Nord;92.9235880399;2016-01;87.1899145994
2016;6;Nord;83.5035944003;2016-06;77.488372093
2016;3;Est;94.57937346;2016-03;89.27322191990001
2017;12;OUIGO;85.6201975851;2017-12;67.5824175824
2018;1;Atlantique;89.5;2018-01;86.3
2018;1;Nord;90.10000000000001;2018-01;85.1
2018;1;OUIGO;88.3;2018-01;74.08
2018;4;Est;91.7;2018-04;79.0
2018;4;Sud-Est;89.8;2018-04;82.39999999999999
2018;5;Atlantique;88.8;2018-05;82.3
2018;5;Nord;83.8;2018-05;80.7
2018;6;Est;87.6;2018-06;74.0
2018;6;Nord;85.5;2018-06;79.60000000000001
2018;2;OUIGO;88.8;2018-02;73.2
2018;3;Est;88.3;2018-03;79.10000000000001
2015;3;Nord;92.1465968586;2015-03;87.9560612005
2015;3;Est;94.5739014647;2015-03;87.85321100920001
2018;7;Sud-Est;79.10000000000001;2018-07;87.4
2018;8;Sud-Est;85.7;2018-08;78.10000000000001
2018;11;Europe;87.1;2018-11;69.89999999999999
2018;10;Europe;88.9;2018-10;70.6
2018;9;Nord;87.7;2018-09;84.6
2019;2;Nord;89.7;2019-02;83.1
2019;1;Europe;92.30000000000001;2019-01;71.5
2019;1;OUIGO;89.0;2019-01;82.8
2019;1;Est;94.3;2019-01;86.6
2018;12;Nord;86.0;2018-12;80.9
2018;6;Europe TGV;78.2;2018-06;70.39999999999999
2018;6;Sud-Est;83.89999999999999;2018-06;77.60000000000001
2018;1;Sud-Est;89.3;2018-01;85.39999999999999
2018;3;Europe TGV;90.8;2018-03;71.7
2015;3;Atlantique;93.6782488902;2015-03;89.8996655518
2015;3;Europe TGV;92.9749866951;2015-03;78.6185487
2015;3;Sud-Est;93.4873323398;2015-03;88.37994214080001
2015;5;Sud-Est;89.3761874604;2015-05;85.2500850629
2018;4;Nord;84.89999999999999;2018-04;79.2
2015;4;Est;92.6762491444;2015-04;87.43356112379999
2015;9;Atlantique;88.79974830900001;2015-09;85.7761607762
2015;7;Europe TGV;86.28113127900001;2015-07;71.5695952616
2015;8;Atlantique;88.96867838040001;2015-08;83.9037614368
2015;6;Atlantique;86.4390706496;2015-06;81.8940052129
2015;11;Atlantique;91.04501352;2015-11;86.6701699072
2016;1;Sud-Est;91.3890634821;2016-01;87.6145995503
2015;10;Sud-Est;89.4391953673;2015-10;86.0894133289
2015;7;Nord;88.0753138075;2015-07;83.0820770519
2015;6;Nord;86.8421052632;2015-06;82.5506072874
2015;12;OUIGO;95.28985507249999;2015-12;83.0
2016;6;Atlantique;83.2400077235;2016-06;80.80338266380001
2016;12;Atlantique;87.7817128139;2016-12;83.29225352110001
2016;2;Atlantique;92.3964697895;2016-02;88.0987746008
2016;9;Europe TGV;90.3571428571;2016-09;72.8665207877
2016;10;Europe TGV;88.8036117381;2016-10;72.7678571429
2016;11;Europe TGV;88.6152416357;2016-11;74.8571428571
2016;6;Sud-Est;84.35106150140001;2016-06;77.4924118608
2016;2;Est;94.0314902966;2016-02;89.0327802509
2016;6;Est;91.500195848;2016-06;83.4068843778
2016;11;Est;94.4154877141;2016-11;87.4248927039
2017;3;Atlantique;90.8251035362;2017-03;86.99059561130001
2017;8;Atlantique;87.61169165529999;2017-08;80.9210526316
2017;4;Europe TGV;88.6715195632;2017-04;75.13997760359999
2017;7;Europe TGV;88.1639481389;2017-07;70.91653865849999
2017;3;Europe TGV;91.0945273632;2017-03;75.9315821625
2017;5;Europe TGV;91.0043668122;2017-05;74.3797195254
2017;6;OUIGO;83.44827586209999;2017-06;72.3897911833
2017;5;OUIGO;88.2483370288;2017-05;78.2222222222
2017;5;Est;95.31914893620001;2017-05;88.2642593352
2017;6;Est;91.9636363636;2017-06;83.2147341984
2017;12;Europe TGV;87.5561545373;2017-12;71.922005571
2017;12;Sud-Est;86.99775823419999;2017-12;81.7365269461
2017;8;OUIGO;84.69101123600001;2017-08;69.2957746479
2017;11;OUIGO;84.3251088534;2017-11;72.0116618076
2017;9;Nord;89.1967730621;2017-09;85.9021783806
2018;8;Atlantique;87.8;2018-08;81.0
2018;8;OUIGO;86.6;2018-08;74.5
2018;7;OUIGO;81.0;2018-07;80.9
2018;10;Sud-Est;86.0;2018-10;83.5
2018;11;Sud-Est;85.2;2018-11;82.5
2018;9;OUIGO;89.7;2018-09;80.9
2018;10;Nord;87.0;2018-10;84.0
2019;1;Atlantique;89.9;2019-01;87.6
2019;1;Sud-Est;92.10000000000001;2019-01;87.2
2018;12;Est;88.9;2018-12;80.9
2018;9;Atlantique;90.60000000000001;2018-09;85.2
2018;9;Est;90.2;2018-09;79.2
2018;10;Atlantique;89.7;2018-10;86.5
2018;9;Europe;88.9;2018-09;69.0
2018;11;Nord;88.7;2018-11;84.39999999999999
2018;10;OUIGO;88.9;2018-10;80.4
2018;11;OUIGO;88.7;2018-11;80.5
2018;11;Est;93.10000000000001;2018-11;81.5
2018;8;Europe TGV;88.4;2018-08;66.7
2018;7;Nord;78.2;2018-07;87.3
2018;8;Nord;86.4;2018-08;84.1
2018;6;Atlantique;85.3;2018-06;81.39999999999999
2015;10;Europe TGV;92.04647006260001;2015-10;78.07203389829999
2016;1;Atlantique;92.38017871650001;2016-01;88.5643476722
2017;12;Atlantique;84.1495992876;2017-12;77.2242585805
2017;11;Europe TGV;87.9286694102;2017-11;74.6734809767
2017;10;OUIGO;88.7798036466;2017-10;74.0168539326
2017;12;Nord;86.57424297700001;2017-12;83.2303618711
2017;9;Est;93.6685288641;2017-09;85.16320474780001
2017;12;Est;90.8793604651;2017-12;79.2430278884
2017;10;Est;93.6063218391;2017-10;85.070306038
2015;9;Europe TGV;88.798185941;2015-09;73.90374331550001
2015;1;Atlantique;91.7079207921;2015-01;87.3530399731
2015;1;Europe TGV;90.2751803366;2015-01;75.4982415006
2018;5;Sud-Est;87.8;2018-05;81.3
2015;2;Sud-Est;90.5385967716;2015-02;85.7610756766
2015;1;Sud-Est;90.5528237222;2015-01;86.0209846651
2015;4;Nord;89.58755916160001;2015-04;84.9471114727
2015;10;Est;95.06502167389999;2015-10;85.21674694330001
2015;10;Nord;91.2434895833;2015-10;85.931410756
2015;8;Est;95.3412784399;2015-08;86.3052208835
2016;5;Europe TGV;90.0329102022;2016-05;74.89010989009999
2015;2;Atlantique;88.8098865752;2015-02;85.29520295200001
2015;12;Atlantique;92.40506329109999;2015-12;86.0831889081
2016;2;Europe TGV;90.5918057663;2016-02;78.2345828295
2015;11;Europe TGV;90.423572744;2015-11;75.6403269755
2016;3;Sud-Est;92.041243757;2016-03;86.90812720849999
2016;5;OUIGO;90.5405405405;2016-05;79.72972972970001
